id,category,sub_category,question,answer,source
1,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"عام طور تي حمل جي پهرين نشاني ڇا هوندي آهي؟","گھڻين عورتن لاءِ پهرين نشاني ماهواري جو نه اچڻ هوندي آهي۔ ٿڪاوت محسوس ٿيڻ، طبيعت خراب لڳڻ يا ڇاتين ۾ سور به شروعات ۾ ٿي سگهي ٿو۔ پڪ ڪرڻ جو واحد طريقو حمل جو ٽيسٽ ڪرائڻ يا صحت ڪارڪن وٽ وڃڻ آهي۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
2,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"منهنجي ماهواري دير سان اچي رهي آهي۔ ڇا آءٌ حامله ٿي سگهان ٿي؟","ماهواري جو دير سان اچڻ حمل جي نشاني ٿي سگهي ٿي، پر اهو ذهني دٻاءُ، بيماري، وزن ۾ تبديلي يا ٻين سببن ڪري به ٿي سگهي ٿو۔ جيڪڏهن حمل جو ڪو به امڪان آهي ته ٽيسٽ ڪرايو يا ليڊي هيلٿ ورڪر کان پڇو۔ چڪاس ڪرڻ ۾ گھڻي دير نه ڪريو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
3,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"آءٌ ڪيئن معلوم ڪري سگهان ٿي ته آءٌ حامله آهيان؟","پيشاب جو هڪ سادو ٽيسٽ اهو ٻڌائي سگهي ٿو، ۽ اهو گھڻن صحت مرڪزن تي موجود هوندو آهي۔ صحت ڪارڪن به اهو توهان لاءِ تصديق ڪري سگهي ٿو۔ جيڪڏهن ٽيسٽ جو نتيجو واضح نه هجي ته صحت مرڪز وڃو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
4,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"حمل عام طور تي ڪيتري عرصي تائين رهندو آهي؟","پورو حمل تقريباً چاليهه هفتا رهندو آهي، جنهن جو حساب پوئين ماهواري جي پهرين ڏينهن کان ڪيو ويندو آهي۔ ستٽيهن هفتن کان اڳ ڄمندڙ ٻارن کي وقت کان اڳ ڄاول (Preterm) چيو ويندو آهي، جن کي وڌيڪ سنڀال جي ضرورت هوندي آهي۔ توهان جو صحت ڪارڪن توهان کي ڄمڻ جي اندازي واري تاريخ ٻڌائي سگهي ٿو۔",https://www.who.int/news-room/fact-sheets/detail/preterm-birth
5,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"حمل جو پتو پوڻ بعد پهريون معائنو ڪڏهن ڪرائڻ گھرجي؟","جيترو جلدي ٿي سگهي، حمل جي پهرين ٻارهن هفتن اندر پهريون معائنو ڪرايو۔ شروعاتي معائنا مسئلن کي سنگين ٿيڻ کان اڳ ئي معلوم ڪرڻ ۾ مدد ڪن ٿا۔ طبيعت خراب محسوس ٿيڻ تائين انتظار نه ڪريو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
6,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"سڄي حمل دوران مون کي ڪيترا معائنا ڪرائڻ گھرجن؟","حمل دوران گھٽ ۾ گھٽ اٺ معائنا ڪرائڻ جي صلاح ڏني ويندي آهي۔ اهي سڄي حمل ۾ ورهايل هوندا آهن، جيڪي ٻارهن هفتن کان اڳ شروع ٿين ٿا۔ سڀ معائنا ڪرائڻ سان ٻار وڃائجي وڃڻ جو خطرو گھٽ ٿئي ٿو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
7,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"ڇا آءٌ ٿڃ پيارڻ دوران به حامله ٿي سگهان ٿي؟","ها، ٿڃ پيارڻ دوران به حامله ٿيڻ ممڪن آهي، توڙي جو توهان جي ماهواري اڃا واپس نه آئي هجي۔ ٿڃ پيارڻ ٻارن ۾ وقفو رکڻ ۾ مدد ڪري ٿو پر حمل کان بچاءَ جو پڪو طريقو ناهي۔ ٻارن ۾ وقفو رکڻ بابت صحت ڪارڪن کان پڇو۔",https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding
8,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"مون کي صبح جو طبيعت خراب لڳي ٿي ۽ قَي اچي ٿي۔ ڇا اهو شروعاتي حمل ۾ عام آهي؟","شروعاتي حمل ۾ طبيعت خراب لڳڻ ۽ قَي اچڻ عام ڳالهه آهي ۽ عام طور تي حمل جيئن اڳتي وڌندو آهي تيئن اهو گھٽجي ويندو آهي۔ وڏا طعام کائڻ بدران ننڍا ننڍا طعام گھڻي ڀيري کائڻ جي ڪوشش ڪريو۔ جيڪڏهن توهان کان ڪو به طعام يا پاڻي هضم نه ٿئي ته صحت مرڪز وڃو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
9,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"ڇا شروعاتي حمل ۾ تمام گھڻي ٿڪاوت محسوس ٿيڻ عام آهي؟","ها، گھڻيون عورتون شروعاتي مهينن ۾ تمام گھڻي ٿڪاوت محسوس ڪن ٿيون۔ جڏهن موقعو ملي آرام ڪريو ۽ سٺي غذا کائو۔ پر جيڪڏهن ٿڪاوت سان گڏ چرخي اچڻ، ساهه کڄڻ يا منهن تمام گھڻو پيلو نظر اچي ته صحت ڪارڪن کي ٻڌايو، ڇاڪاڻ ته اهو خون جي کوٽ ٿي سگهي ٿو۔",https://www.who.int/news-room/fact-sheets/detail/anaemia
10,حمل ۽ ماءُ جي صحت,حمل جي تصديق ۽ شروعاتي حمل,"ڇا شروعاتي حمل ۾ ڇاتين ۾ تبديلي اچڻ عام آهي؟","ها، شروعاتي حمل ۾ ڇاتيون اڪثر ڀريل يا سور ڏيندڙ محسوس ٿينديون آهن۔ اهو هڪ عام تبديلي آهي جيڪا وقت سان گڏ پاڻمرادو ٺيڪ ٿي ويندي آهي۔ جيڪڏهن ڪا ڳنڍ، ڳاڙهاڻ يا سخت سور واري جاءِ محسوس ٿئي ته صحت ڪارڪن کي ڏيکاريو۔",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
