review_id,source_id,category_english,sub_category_english,question_english,answer_english,source,clinical_accuracy,safety_check,escalation_check,decision,reviewer,reviewer_credentials,review_notes,suggested_fix,review_date
R001,910,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What is the thyroid?,"It's a gland in the neck that makes hormones that control how the body uses energy. When it makes too little or too much, it affects many parts of the body. A blood test can check how it's working.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,N/A,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R002,911,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can a thyroid problem affect my periods?,Thyroid problems are among the conditions doctors consider when periods become irregular. That's why other causes are ruled out before diagnosing PCOS. A blood test can check your thyroid.,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R003,912,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can a thyroid problem make it harder to get pregnant?,"Thyroid disease is considered relevant for women who have difficulty with fertility, and there is specific guidance for checking it before and during pregnancy. If you are struggling to conceive, ask about a thyroid test. It is a simple blood test.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,N/A,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R004,913,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,"If my periods are irregular, should my thyroid be checked?","Because many hormonal conditions can disrupt periods, doctors rule out other causes before diagnosing PCOS. Thyroid testing can be part of that. Ask your doctor which tests they are doing and why.",https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,Yes you should check for thyroid hormone level if you have other sign and symptoms of hypothyroidism or hyperthyroidism that can also cause irregular periods. You should go for blood test that is TSH levels.,9/20/2026
R005,914,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What is an underactive thyroid?,"It means the thyroid is making too little hormone, which slows down many of the body's functions. It is one of the conditions included in thyroid guidance for women before and during pregnancy. It is diagnosed with a blood test.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,N/A,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R006,915,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What is an overactive thyroid?,"It means the thyroid is making too much hormone, which speeds up many of the body's functions. It is a recognized thyroid condition that affects women during and after pregnancy. It needs medical evaluation and treatment.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,N/A,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R007,916,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Should I get my thyroid checked during pregnancy?,"Thyroid function testing in pregnancy falls under specific medical guidance, and whether you need it depends on your situation. Ask your pregnancy healthcare worker. Do not plan or interpret the test yourself.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,N/A,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R008,917,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can thyroid problems appear after childbirth?,"Yes, thyroid problems that occur after childbirth are recognized and specifically included in medical guidance. If in the months after childbirth you feel unusually tired, low, or unwell, mention it. A blood test can check for it.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R009,918,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Is iodine important for the thyroid?,"Iodine is needed for the thyroid to function, and there is guidance on iodine for women before, during, and after pregnancy. Do not start anything on your own. Ask a health worker what is advised in your area.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,"Iodine is important for thyroid hormone T3/T4 synthesis, which regulates the body’s metabolism and growth. Deficiency can cause hypothyroidism; TSH level should be checked through a blood test. There is guidance on iodine for women before, during, and after pregnancy. Do not start anything on your own — ask a health worker what is advised in your area.",9/20/2026
R010,919,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can I breastfeed if I have a thyroid condition?,"Managing thyroid conditions while breastfeeding is specifically included in medical guidance, so it is a manageable situation. Tell your doctor that you are breastfeeding. Do not stop treatment or stop breastfeeding without advice.",https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,Breastfeeding is safe with a thyroid problem. Continue your prescribed thyroid treatment. Check with your doctor to monitor thyroid hormone levels regularly and adjust the dose as needed.,9/20/2026
R011,920,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can I have PCOS and a thyroid problem at the same time?,"It is possible to have more than one hormonal condition. That's why doctors do a broad check rather than stopping at one diagnosis. Report all your symptoms, not just the ones you think are related.",https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R012,921,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,How will I know if my symptoms are thyroid or PCOS?,"You cannot tell them apart from symptoms alone, because they overlap with each other. Only a blood test can distinguish them. See a doctor rather than deciding yourself.",https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R013,922,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,"Besides PCOS, what other conditions can disrupt periods?","Endometriosis, adenomyosis, fibroids, bleeding disorders, pre-menstrual conditions, and premature ovarian failure are all recognized causes. Thyroid problems are also considered. That's why proper testing is important.",https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R014,923,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What is premature ovarian failure?,"It is a condition in which the ovaries stop working earlier than expected, and it is one of the recognized causes of period problems. It needs medical evaluation. Don't assume that missed periods are always PCOS.",https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,Premature ovarian failure (primary ovarian insufficiency) happens when a woman’s ovaries stop working normally before age 40. It causes irregular or missed periods and infertility. Needs medical evaluation — don’t assume missed periods are always PCOS.,9/20/2026
R015,924,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What are fibroids?,These are growths that occur in the uterus and are one of the recognized conditions linked to problematic periods. They can cause heavy or painful bleeding. A doctor can assess whether they are the cause.,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R016,925,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What is endometriosis?,"It is a condition recognized as a cause of difficult and painful periods. Diagnosing it requires medical evaluation. If your period pain is severe or worsening, ask to be evaluated for it.",https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R017,926,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can a bleeding disorder cause heavy periods?,"Yes, bleeding disorders are among the recognized causes of problematic menstrual bleeding. They are diagnosed with blood tests. Tell your doctor about any easy bruising or bleeding from elsewhere.",https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R018,927,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Do I need to see a specialist for hormonal problems?,"Start with your nearest health center or general doctor, who can do initial tests and refer you onward if needed. Care for these conditions should start from general services. You don't need to find a specialist yourself.",https://academic.oup.com/jcem/article/108/10/2447/7242360,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R019,928,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Can hormonal problems be treated?,"Yes, once properly identified, many hormonal conditions can be well controlled. The difficulty is usually in diagnosis, not treatment. That's why testing is important.",https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R020,929,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,Should I take hormonal medicine on someone's advice?,"No. Never take hormonal medicines without a doctor's written prescription after testing. The same symptoms can come from exactly opposite hormonal problems, so the wrong treatment can cause harm. Get tested first.",https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R021,930,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,How long do hormonal conditions last?,Many are long-term conditions that need ongoing care rather than one-time treatment. Regular follow-up is part of the care. Keep your appointments even if you feel fine.,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R022,931,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,What should I tell the doctor about my hormonal symptoms?,"Describe your period pattern, and any change in weight, hair, skin, energy, or mood, including when each one started. Bring a record of your cycle dates with you. The full picture is what allows them to assess you properly.",https://academic.oup.com/jcem/article/108/10/2447/7242360,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R023,2020,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,How does PCOS treatment in young girls differ from adults?,"In young girls, the first step is usually lifestyle changes (balanced diet and activity) and hormonal pills to regulate periods, while insulin-resistance or fertility medicines are usually used later if needed. Diagnosis is also made more cautiously because irregular cycles are common in the early years.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,9/20/2026
R024,730,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,What are the danger signs in pregnancy that mean I should get help immediately?,"Bleeding, severe headache, blurred vision, severe abdominal pain, swelling of the hands and face, fever, shortness of breath, seizures, reduced baby movement, or foul-smelling discharge. If any of these occur, it means go to a health center or hospital now. Take someone with you.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R025,731,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I am bleeding during pregnancy. What should I do?,"Bleeding in pregnancy is not something to wait on. Go to the nearest health center or hospital now, and take someone with you. Don't wait to see if it stops or not.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R026,732,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I have a severe headache and blurred vision. Is this serious?,"Yes, a severe headache along with blurred vision or seeing spots in front of your eyes can be a sign of a dangerous blood pressure problem in pregnancy. Go to a health center or hospital now. Don't wait for your next check-up.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R027,733,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,My hands and face are swollen. Should I be worried?,"Swelling of the hands and face can be a sign of a serious blood pressure problem in pregnancy. Please go to a health center or hospital now, with someone accompanying you. This is not like ordinary mild ankle swelling.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R028,734,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I have severe pain in my upper abdomen. What does this mean?,Severe upper abdominal pain in pregnancy can be a warning sign of a blood pressure problem and needs immediate evaluation. Go to a health center or hospital now. Take someone with you.,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,Severe pain in upper abdomen can be due to some others reasons also ,23/09/2026
R029,735,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I have a fever while pregnant. Should I treat it at home?,No. Fever in pregnancy is a danger sign and needs to be seen at a health center. Do not treat it at home or take medicine on your own. Go now.,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R030,736,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,My baby's movement has stopped or greatly reduced. What should I do?,"Reduced or stopped movement is a danger sign that needs immediate attention. Go to a health center or hospital now, without waiting to see whether the movement returns. Take someone with you.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R031,737,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I'm having difficulty breathing. Is this an emergency in pregnancy?,"Shortness of breath in pregnancy is a danger sign. Go to a health center or hospital immediately. If possible, do not wait alone or travel alone.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R032,738,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I had a seizure or fainted while pregnant. What should my family do?,Seizures or fainting in pregnancy are an emergency and can be life-threatening. Take the woman to the hospital immediately. Do not do any home treatment on the way.,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R033,739,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,What is eclampsia?,"It is the severe form of a blood pressure problem in pregnancy, in which seizures occur, and it is life-threatening. It needs emergency hospital treatment. Any seizure in pregnancy should be treated as an emergency.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
