variant_id,source_kb_id,category,subcategory,original_question,variant_question,review_status,review_notes
v1,1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,ماهواري ڇا هوندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v2,1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,عورت جي ماهواري جو مطلب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v3,2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,ماهواري جو چڪر عام طور ڪيترن ڏينهن جو هوندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v4,2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,ماهواري ڪيترا ڏينهن بعد ٻيهر ايندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v5,3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,ماهواري ڪيترا ڏينهن هلندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v6,3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,عام طور ماهواري ڪيترن ڏينهن ۾ ختم ٿي ويندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v7,4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,ماهواري ۾ ڪيترو رت وڃائجي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v8,4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,هڪ ماهواري ۾ رت جي مقدار ڪيتري هوندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v9,5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ڇا ماهواري هر مهيني ٿورو اڳتي پوئتي ٿي سگهي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v10,5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ماهواري جي تاريخ هر مهيني بدلجي وڃي ته ڇا اهو ٺيڪ آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v11,6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,ماهواري جا مکيه مرحلا ڪهڙا آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
