id,category,sub_category,question,answer,source
1,Pregnancy & Maternal Health,Confirming & early pregnancy,What is usually the first sign of pregnancy?,"For most women the first sign is a missed period. Feeling tired, feeling sick, or sore breasts can also come early. The only way to be sure is a pregnancy test or a visit to a health worker.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
2,Pregnancy & Maternal Health,Confirming & early pregnancy,My period is late. Could I be pregnant?,"A late period can mean pregnancy, but it can also happen from stress, illness, weight change or other reasons. If there is any chance you are pregnant, take a test or ask a lady health worker. Do not wait a long time to check.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
3,Pregnancy & Maternal Health,Confirming & early pregnancy,How can I find out if I am pregnant?,"A simple urine test can tell you, and it is available at most health centres. A health worker can also confirm it for you. If the test is unclear, go to a health centre.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
4,Pregnancy & Maternal Health,Confirming & early pregnancy,How long does a pregnancy normally last?,"A full pregnancy is about forty weeks, counted from the first day of your last period. Babies born before thirty-seven weeks are called preterm and need extra care. Your health worker can tell you your expected date.",https://www.who.int/news-room/fact-sheets/detail/preterm-birth
5,Pregnancy & Maternal Health,Confirming & early pregnancy,When should I go for my first check-up after I find out I am pregnant?,"Go for your first check-up as early as you can, within the first twelve weeks of pregnancy. Early check-ups help find problems before they become serious. Do not wait until you feel unwell.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
6,Pregnancy & Maternal Health,Confirming & early pregnancy,How many check-ups should I have during my whole pregnancy?,"It is recommended to have at least eight check-ups during pregnancy. These are spread across the whole pregnancy, starting before twelve weeks. Going for all of them lowers the risk of losing the baby.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
7,Pregnancy & Maternal Health,Confirming & early pregnancy,Can I become pregnant while I am still breastfeeding?,"Yes, it is possible to become pregnant while breastfeeding, even if your periods have not come back. Breastfeeding helps space births but is not a certain way to avoid pregnancy. Ask a health worker about spacing your children.",https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding
8,Pregnancy & Maternal Health,Confirming & early pregnancy,I feel sick and vomit in the morning. Is that normal in early pregnancy?,"Feeling sick and vomiting is common in early pregnancy and usually settles as the pregnancy goes on. Try small meals more often instead of large ones. If you cannot keep any food or water down, go to a health centre.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
9,Pregnancy & Maternal Health,Confirming & early pregnancy,Is it normal to feel very tired in early pregnancy?,"Yes, many women feel very tired in the early months. Rest when you can and eat well. But if the tiredness comes with dizziness, breathlessness or a very pale look, tell a health worker, because it may be low blood.",https://www.who.int/news-room/fact-sheets/detail/anaemia
10,Pregnancy & Maternal Health,Confirming & early pregnancy,Do my breasts change in early pregnancy?,"Yes, breasts often feel fuller or sore in early pregnancy. This is a normal change and it settles with time. If you notice a lump, redness or a hard painful area, show it to a health worker.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
11,Pregnancy & Maternal Health,Confirming & early pregnancy,Why do I need to pass urine more often now that I am pregnant?,"Passing urine more often is common in pregnancy and is usually nothing to worry about. But if it burns, or you have fever or pain in your back, go to a health centre, as this may be an infection that needs treatment.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
12,Pregnancy & Maternal Health,Confirming & early pregnancy,Should I start taking anything as soon as I know I am pregnant?,"Yes, health workers give iron and folic acid tablets to women in pregnancy. They help prevent low blood in the mother and problems for the baby. Take only what the health worker gives you, in the amount they tell you.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
13,Pregnancy & Maternal Health,Confirming & early pregnancy,What is folic acid and why is it given in pregnancy?,Folic acid is a vitamin given together with iron during pregnancy. It helps the baby grow properly and helps prevent low blood in the mother. Your health worker will give it to you at your check-ups.,https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
14,Pregnancy & Maternal Health,Confirming & early pregnancy,I have some bleeding in early pregnancy. What should I do?,"Any bleeding during pregnancy is a sign that should not be ignored. Please go to the nearest health centre or hospital now, and take someone with you. Do not wait to see if it stops.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality
15,Pregnancy & Maternal Health,Confirming & early pregnancy,How do I know how many weeks pregnant I am?,"Weeks are counted from the first day of your last period. If you are not sure of that date, a scan can tell you. Your health worker will work it out with you at your first check-up.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
16,Pregnancy & Maternal Health,Confirming & early pregnancy,Do I need a scan during pregnancy?,"Yes, one scan before twenty-four weeks is recommended. It shows how many weeks pregnant you are, whether there is more than one baby, and whether the baby is growing well. Ask your health worker where you can get one.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
17,Pregnancy & Maternal Health,Confirming & early pregnancy,Should I tell the health worker about medicines I am already taking?,"Yes, always tell the health worker about any medicine you are taking, including ones from a shop or a hakeem. Some are not safe in pregnancy. Never start or stop a medicine on your own while pregnant.",https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
18,Pregnancy & Maternal Health,Confirming & early pregnancy,"Should I stop using tobacco, naswar or paan now that I am pregnant?",Yes. Health workers advise women to avoid tobacco and other harmful substances during pregnancy. Stopping helps your baby grow better and lowers the chance of an early birth. Ask a health worker if you need help stopping.,https://www.who.int/news/item/07-11-2016-new-guidelines-on-antenatal-care-for-a-positive-pregnancy-experience
