id,category,sub_category,question,answer,source
2010,PCOS & Hormonal Health,"PCOS, Weight & Insulin Resistance",What does the medicine Metformin do for insulin resistance?,Metformin is a commonly prescribed medicine for reducing insulin resistance and improving blood sugar levels in PCOS. It can also help make periods more regular and lower the risk of diabetes. It should only be taken under a doctor's advice and supervision - never start it on your own.,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2011,PCOS & Hormonal Health,What PCOS Is & Common Signs,What medicines are given to help a woman with PCOS get pregnant?,"If PCOS is causing problems with ovulation, a doctor may prescribe ovulation-inducing medicines like Clomiphene or Letrozole, which increase the chance of releasing an egg. If these medicines don't work, other treatments like IVF may be an option. This decision should always be made in consultation with a doctor.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2012,PCOS & Hormonal Health,Skin & Hair Changes,How is Spironolactone used for PCOS-related hair growth and acne?,"Spironolactone is a medicine that reduces the effect of excess male hormone (androgen) in the body, which can help reduce excess hair growth and acne. It is only available by prescription and should not be used during pregnancy, since it can affect the baby.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2013,PCOS & Hormonal Health,PCOS & Menstruation,How do birth control pills help treat PCOS?,"Combined birth control pills balance hormones to make periods more regular, reduce excess hair growth and acne, and protect against the uterine lining becoming abnormally thick. They also prevent pregnancy, so they suit women who are not currently trying to conceive.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2014,PCOS & Hormonal Health,Misconceptions About PCOS & Hormones,"Does PCOS increase the risk of endometrial (uterine lining) cancer, and how can it be prevented?","In PCOS, long periods of irregular or absent menstruation can cause the uterine lining to stay thickened for extended periods, which over time can somewhat raise the risk of endometrial cancer. This risk can be lowered by bringing on regular periods (through birth control pills or progesterone) and regular check-ups with a doctor. It isn't something to panic over, but it also shouldn't be ignored.",ACOG - Polycystic Ovary Syndrome FAQs - https://www.acog.org/womens-health/faqs/polycystic-ovary-syndrome-pcos
2015,PCOS & Hormonal Health,Diagnosis & When to Get Checked,What kind of specialist doctor should I see for PCOS treatment?,"PCOS treatment usually involves a gynecologist (women's health specialist) or an endocrinologist (hormone specialist). If help with pregnancy is needed, a reproductive endocrinologist (fertility specialist) is usually the referral. In many cases, the first step is a lady health worker or general doctor, who then refers you to the right specialist.",Mayo Clinic - PCOS care at Mayo Clinic - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/care-at-mayo-clinic/mac-20353446
2016,PCOS & Hormonal Health,PCOS & Menstruation,"If a woman with PCOS becomes pregnant, what complications are more likely during pregnancy?","In PCOS pregnancies, the risk of gestational diabetes, high blood pressure (pre-eclampsia), premature birth, and miscarriage can be somewhat higher than in a typical pregnancy. This doesn't mean these complications will definitely happen, but regular check-ups and blood sugar testing during pregnancy become important.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2017,PCOS & Hormonal Health,"PCOS, Weight & Insulin Resistance",Does the supplement Inositol help with PCOS?,"Some research suggests the supplement Inositol may help reduce insulin resistance and make periods more regular, but the evidence is still limited. Always consult a doctor before starting any supplement, since it can interact with other medicines.",NICHD/NIH - Polycystic Ovary Syndrome - https://www.nichd.nih.gov/health/topics/pcos
2018,PCOS & Hormonal Health,Lifestyle Management,"If weight loss and lifestyle changes don't work, what other treatment options exist for PCOS?","If lifestyle changes aren't enough, a doctor may prescribe Metformin, birth control pills, or specific medicines for excess hair or acne. In cases of severe obesity where other treatments haven't worked, weight-loss (bariatric) surgery may also be considered as an option, but it is a last resort decided in consultation with a specialist.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2019,PCOS & Hormonal Health,What PCOS Is & Common Signs,Are PCOS and Endometriosis the same thing?,"No, they are two different conditions. PCOS is a problem with hormones and ovulation, while Endometriosis is when tissue similar to the uterine lining grows outside the uterus and causes pain. Both conditions can cause irregular periods and difficulty getting pregnant, so a doctor's examination is needed for an accurate diagnosis.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2020,PCOS & Hormonal Health,Thyroid & Other Hormonal Imbalances,How does PCOS treatment differ for teenagers compared to adults?,"In teenagers, the first step is usually lifestyle changes (balanced diet and activity) along with birth control pills to regularize periods, while insulin-resistance or fertility medicines are usually used later, only when needed. Diagnosis is also approached more cautiously, since irregular cycles are common in the first few years after periods start.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2021,PCOS & Hormonal Health,Misconceptions About PCOS & Hormones,Does PCOS increase the risk of miscarriage?,"Women with PCOS may have a somewhat higher risk of miscarriage than the general population, especially with insulin resistance or obesity. However, most women with PCOS go on to have healthy pregnancies and successful births, especially when weight and blood sugar are managed before pregnancy and regular medical monitoring is maintained.",Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
