variant_id,answer_id,original_question,colloquial_variant,category,subcategory,review_status
v_1_0,1,حيض جي چڪر ڇا آهي؟,حيض جو چڪر ڇا کي چئبو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_1_1,1,حيض جي چڪر ڇا آهي؟,پيريڊس يا مهينيو اچڻ واري چڪر مان ڇا مراد آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_1_2,1,حيض جي چڪر ڇا آهي؟,عورتن ۾ حيض جو مهيني وارو سلسلو ڇا هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_1_3,1,حيض جي چڪر ڇا آهي؟,پيريڊس جو چڪر اصل ۾ ڇا آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_1_4,1,حيض جي چڪر ڇا آهي؟,مهيني وارو نظام يا حيض جو چڪر ڇا کي چوندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_2_5,2,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,پيريڊس جو عام چڪر ڪيترن ڏينهن جو هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_2_6,2,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,نارمل حيض جو چڪر معمول مطابق ڪيترو وقت هلي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_2_7,2,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,عام طور تي مهيني واري چڪر جو دورانيو ڪيترو ٿئي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_2_8,2,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,پيريڊس جي پوري چڪر ۾ عام طور ڪيترا ڏينهن لڳندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_2_9,2,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,هڪ نارمل حيض وارو چڪر ڪيڏو ڊگهو هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_3_10,3,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,پيريڊس معمول مطابق ڪيترا ڏينهن هلندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_3_11,3,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,حيض يا مهينو عام طور تي ڪيترا ڏينهن رهن ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
