id,category,sub_category,question,answer,source,id,category,sub_category,question,answer,source,id,category,sub_category,question,answer,source,id,category,sub_category,question,answer,source
1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,حيض واري صورتحال جي دور ۾ هڪ مهيني هارمونل عمل uterine استر ٺهي ٿو ۽ ان کان پوءِ ان حملا ممڪن نه آهن ته وهندو. اهو چيو ويو آهي وائن جو دور آهي هڪ نمبر پهريون نمبر ڪجهه ڏينهن.,WHO - https://www.who.int/news-room/fact-sheets/detail/menstrual-health-and-hygiene,1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,حيض واري صورتحال جي دور ۾ هڪ مهيني هارمونل عمل uterine استر ٺهي ٿو ۽ ان کان پوءِ ان حملا ممڪن نه آهن ته وهندو. اهو چيو ويو آهي وائن جو دور آهي هڪ نمبر پهريون نمبر ڪجهه ڏينهن.,WHO - https://www.who.int/news-room/fact-sheets/detail/menstrual-health-and-hygiene,1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,حيض واري صورتحال جي دور ۾ هڪ مهيني هارمونل عمل uterine استر ٺهي ٿو ۽ ان کان پوءِ ان حملا ممڪن نه آهن ته وهندو. اهو چيو ويو آهي وائن جو دور آهي هڪ نمبر پهريون نمبر ڪجهه ڏينهن.,WHO - https://www.who.int/news-room/fact-sheets/detail/menstrual-health-and-hygiene,1,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر ڇا آهي؟,حيض واري صورتحال جي دور ۾ هڪ مهيني هارمونل عمل uterine استر ٺهي ٿو ۽ ان کان پوءِ ان حملا ممڪن نه آهن ته وهندو. اهو چيو ويو آهي وائن جو دور آهي هڪ نمبر پهريون نمبر ڪجهه ڏينهن.,WHO - https://www.who.int/news-room/fact-sheets/detail/menstrual-health-and-hygiene
2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,اڪثر چڪر بالغن ۾ 21 کان 35 ڏينهن تائين هوندا آهن، 28 ڏينهن سان گڏ اڪثر هڪ سراسري طور حوالو ڏنو ويو آهي، جيتوڻيڪ اهو فردن جي وچ ۾ تمام گهڻو مختلف آهي ۽ ساڳئي شخص لاء مهيني کان مهيني تائين.,NHS - https://www.nhs.uk/conditions/periods/,2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,اڪثر چڪر بالغن ۾ 21 کان 35 ڏينهن تائين هوندا آهن، 28 ڏينهن سان گڏ اڪثر هڪ سراسري طور حوالو ڏنو ويو آهي، جيتوڻيڪ اهو فردن جي وچ ۾ تمام گهڻو مختلف آهي ۽ ساڳئي شخص لاء مهيني کان مهيني تائين.,NHS - https://www.nhs.uk/conditions/periods/,2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,اڪثر چڪر بالغن ۾ 21 کان 35 ڏينهن تائين هوندا آهن، 28 ڏينهن سان گڏ اڪثر هڪ سراسري طور حوالو ڏنو ويو آهي، جيتوڻيڪ اهو فردن جي وچ ۾ تمام گهڻو مختلف آهي ۽ ساڳئي شخص لاء مهيني کان مهيني تائين.,NHS - https://www.nhs.uk/conditions/periods/,2,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عام حيض وارو چڪر ڪيترو ڊگهو آهي؟,اڪثر چڪر بالغن ۾ 21 کان 35 ڏينهن تائين هوندا آهن، 28 ڏينهن سان گڏ اڪثر هڪ سراسري طور حوالو ڏنو ويو آهي، جيتوڻيڪ اهو فردن جي وچ ۾ تمام گهڻو مختلف آهي ۽ ساڳئي شخص لاء مهيني کان مهيني تائين.,NHS - https://www.nhs.uk/conditions/periods/
3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ عام عرصو 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,ACOG - https://www.acog.org/womens-health/faqs/your-first-period,3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ عام عرصو 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,ACOG - https://www.acog.org/womens-health/faqs/your-first-period,3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ عام عرصو 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,ACOG - https://www.acog.org/womens-health/faqs/your-first-period,3,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ عام عرصو 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,ACOG - https://www.acog.org/womens-health/faqs/your-first-period
4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,سراسري طور تي، ڪل حيض جي رت جي گھٽتائي تقريبن 30 کان 40 ملي ليٽر في چڪر آهي، جيتوڻيڪ ڪٿي به تقريبا 80 ملي ليٽر تائين اڃا تائين عام رينج ۾ سمجهيو ويندو آهي.,NHS - https://www.nhs.uk/conditions/heavy-periods/,4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,سراسري طور تي، ڪل حيض جي رت جي گھٽتائي تقريبن 30 کان 40 ملي ليٽر في چڪر آهي، جيتوڻيڪ ڪٿي به تقريبا 80 ملي ليٽر تائين اڃا تائين عام رينج ۾ سمجهيو ويندو آهي.,NHS - https://www.nhs.uk/conditions/heavy-periods/,4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,سراسري طور تي، ڪل حيض جي رت جي گھٽتائي تقريبن 30 کان 40 ملي ليٽر في چڪر آهي، جيتوڻيڪ ڪٿي به تقريبا 80 ملي ليٽر تائين اڃا تائين عام رينج ۾ سمجهيو ويندو آهي.,NHS - https://www.nhs.uk/conditions/heavy-periods/,4,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,سراسري طور تي، ڪل حيض جي رت جي گھٽتائي تقريبن 30 کان 40 ملي ليٽر في چڪر آهي، جيتوڻيڪ ڪٿي به تقريبا 80 ملي ليٽر تائين اڃا تائين عام رينج ۾ سمجهيو ويندو آهي.,NHS - https://www.nhs.uk/conditions/heavy-periods/
5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ها، چڪر کان چڪر تائين ڪجهه تبديليون عام آهن، خاص طور تي پهرين ڪجهه سالن ۾ حيض کان پوءِ ۽ انهن سالن ۾ جيڪي رجعت کان اڳ ۾ آهن؛ چڪر اڪثر ڪري وڌيڪ باقاعده ٿي ويندا آهن وچين پيدائش واري سالن ۾.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ها، چڪر کان چڪر تائين ڪجهه تبديليون عام آهن، خاص طور تي پهرين ڪجهه سالن ۾ حيض کان پوءِ ۽ انهن سالن ۾ جيڪي رجعت کان اڳ ۾ آهن؛ چڪر اڪثر ڪري وڌيڪ باقاعده ٿي ويندا آهن وچين پيدائش واري سالن ۾.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ها، چڪر کان چڪر تائين ڪجهه تبديليون عام آهن، خاص طور تي پهرين ڪجهه سالن ۾ حيض کان پوءِ ۽ انهن سالن ۾ جيڪي رجعت کان اڳ ۾ آهن؛ چڪر اڪثر ڪري وڌيڪ باقاعده ٿي ويندا آهن وچين پيدائش واري سالن ۾.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,5,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ها، چڪر کان چڪر تائين ڪجهه تبديليون عام آهن، خاص طور تي پهرين ڪجهه سالن ۾ حيض کان پوءِ ۽ انهن سالن ۾ جيڪي رجعت کان اڳ ۾ آهن؛ چڪر اڪثر ڪري وڌيڪ باقاعده ٿي ويندا آهن وچين پيدائش واري سالن ۾.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation
6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,چڪر کي عام طور تي حيض واري مرحلي ۾ ورهايو ويندو آهي (خون وهڻ)، فوليڪيولر مرحلو (ايگ جو پختو ٿيڻ)، اووليشن (ايگ ڇڏڻ)، ۽ لوٽيل مرحلو (پوسٽ-اووليشن)، هر هڪ هارمون جي سطح کي تبديل ڪندي.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,چڪر کي عام طور تي حيض واري مرحلي ۾ ورهايو ويندو آهي (خون وهڻ)، فوليڪيولر مرحلو (ايگ جو پختو ٿيڻ)، اووليشن (ايگ ڇڏڻ)، ۽ لوٽيل مرحلو (پوسٽ-اووليشن)، هر هڪ هارمون جي سطح کي تبديل ڪندي.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,چڪر کي عام طور تي حيض واري مرحلي ۾ ورهايو ويندو آهي (خون وهڻ)، فوليڪيولر مرحلو (ايگ جو پختو ٿيڻ)، اووليشن (ايگ ڇڏڻ)، ۽ لوٽيل مرحلو (پوسٽ-اووليشن)، هر هڪ هارمون جي سطح کي تبديل ڪندي.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,چڪر کي عام طور تي حيض واري مرحلي ۾ ورهايو ويندو آهي (خون وهڻ)، فوليڪيولر مرحلو (ايگ جو پختو ٿيڻ)، اووليشن (ايگ ڇڏڻ)، ۽ لوٽيل مرحلو (پوسٽ-اووليشن)، هر هڪ هارمون جي سطح کي تبديل ڪندي.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation
7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ايس ايسٽرو ۽ پروگيسٽرون، دماغي جي پيٽيوٽري غدود مان فولڪل-اسٽولنگ هارمون (FSH) ۽ لوٽينائيزنگ هارمون (LH) اتحاد، اووليشن کي منظم ڪرڻ ۽ رحم جي اسٽر جيٺ ۽ شي کي منظم ڪرڻ لاءِ ڪمِ ڪن ٿا.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ايس ايسٽرو ۽ پروگيسٽرون، دماغي جي پيٽيوٽري غدود مان فولڪل-اسٽولنگ هارمون (FSH) ۽ لوٽينائيزنگ هارمون (LH) اتحاد، اووليشن کي منظم ڪرڻ ۽ رحم جي اسٽر جيٺ ۽ شي کي منظم ڪرڻ لاءِ ڪمِ ڪن ٿا.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ايس ايسٽرو ۽ پروگيسٽرون، دماغي جي پيٽيوٽري غدود مان فولڪل-اسٽولنگ هارمون (FSH) ۽ لوٽينائيزنگ هارمون (LH) اتحاد، اووليشن کي منظم ڪرڻ ۽ رحم جي اسٽر جيٺ ۽ شي کي منظم ڪرڻ لاءِ ڪمِ ڪن ٿا.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation,7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ايس ايسٽرو ۽ پروگيسٽرون، دماغي جي پيٽيوٽري غدود مان فولڪل-اسٽولنگ هارمون (FSH) ۽ لوٽينائيزنگ هارمون (LH) اتحاد، اووليشن کي منظم ڪرڻ ۽ رحم جي اسٽر جيٺ ۽ شي کي منظم ڪرڻ لاءِ ڪمِ ڪن ٿا.,NIH/NICHD - https://www.nichd.nih.gov/health/topics/menstruation
8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,اووليشن عام طور تي چڪر جي وچ واري نقطي جي چوڌاري ٿيندي آهي، ايندڙ دور جي توقع کان تقريبا 14 ڏينهن اڳ، جيتوڻيڪ اهو وقت تبديل ٿي سگهي ٿو جيڪڏهن چڪر پاڻ کي اوسط کان ڊگهو يا ننڍو آهي.,NHS - https://www.nhs.uk/conditions/periods/,8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,اووليشن عام طور تي چڪر جي وچ واري نقطي جي چوڌاري ٿيندي آهي، ايندڙ دور جي توقع کان تقريبا 14 ڏينهن اڳ، جيتوڻيڪ اهو وقت تبديل ٿي سگهي ٿو جيڪڏهن چڪر پاڻ کي اوسط کان ڊگهو يا ننڍو آهي.,NHS - https://www.nhs.uk/conditions/periods/,8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,اووليشن عام طور تي چڪر جي وچ واري نقطي جي چوڌاري ٿيندي آهي، ايندڙ دور جي توقع کان تقريبا 14 ڏينهن اڳ، جيتوڻيڪ اهو وقت تبديل ٿي سگهي ٿو جيڪڏهن چڪر پاڻ کي اوسط کان ڊگهو يا ننڍو آهي.,NHS - https://www.nhs.uk/conditions/periods/,8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,اووليشن عام طور تي چڪر جي وچ واري نقطي جي چوڌاري ٿيندي آهي، ايندڙ دور جي توقع کان تقريبا 14 ڏينهن اڳ، جيتوڻيڪ اهو وقت تبديل ٿي سگهي ٿو جيڪڏهن چڪر پاڻ کي اوسط کان ڊگهو يا ننڍو آهي.,NHS - https://www.nhs.uk/conditions/periods/
9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,حمل گھڻائي جي واقعي ۾ ovulation آهن جن جي مٿان تمام گهڻي حد تائين اڃا تائين، جيئرو موجود آهي، ڪجهه اڳ ۾ محفوظ حملن جي جنس اڃا تائين غير محفوظ ٿيل سببن جو سبب بڻيل آهي.,NHS - https://www.nhs.uk/conditions/periods/,9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,حمل گھڻائي جي واقعي ۾ ovulation آهن جن جي مٿان تمام گهڻي حد تائين اڃا تائين، جيئرو موجود آهي، ڪجهه اڳ ۾ محفوظ حملن جي جنس اڃا تائين غير محفوظ ٿيل سببن جو سبب بڻيل آهي.,NHS - https://www.nhs.uk/conditions/periods/,9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,حمل گھڻائي جي واقعي ۾ ovulation آهن جن جي مٿان تمام گهڻي حد تائين اڃا تائين، جيئرو موجود آهي، ڪجهه اڳ ۾ محفوظ حملن جي جنس اڃا تائين غير محفوظ ٿيل سببن جو سبب بڻيل آهي.,NHS - https://www.nhs.uk/conditions/periods/,9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,حمل گھڻائي جي واقعي ۾ ovulation آهن جن جي مٿان تمام گهڻي حد تائين اڃا تائين، جيئرو موجود آهي، ڪجهه اڳ ۾ محفوظ حملن جي جنس اڃا تائين غير محفوظ ٿيل سببن جو سبب بڻيل آهي.,NHS - https://www.nhs.uk/conditions/periods/
10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,مدت رت جي حد ٿي سگهي ٿي روشن ڳاڙهي کان ڳاڙهي ڳاڙهي-ڳاڙهي، خاص طور تي ڪنهن دور جي شروعات يا آخر ۾؛ اهي رنگ تبديليون رت جي آڪسائيڊنگ جو عام نتيجو آهن ۽ عام طور تي پريشاني جو سبب نه آهن.,NHS - https://www.nhs.uk/conditions/periods/,10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,مدت رت جي حد ٿي سگهي ٿي روشن ڳاڙهي کان ڳاڙهي ڳاڙهي-ڳاڙهي، خاص طور تي ڪنهن دور جي شروعات يا آخر ۾؛ اهي رنگ تبديليون رت جي آڪسائيڊنگ جو عام نتيجو آهن ۽ عام طور تي پريشاني جو سبب نه آهن.,NHS - https://www.nhs.uk/conditions/periods/,10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,مدت رت جي حد ٿي سگهي ٿي روشن ڳاڙهي کان ڳاڙهي ڳاڙهي-ڳاڙهي، خاص طور تي ڪنهن دور جي شروعات يا آخر ۾؛ اهي رنگ تبديليون رت جي آڪسائيڊنگ جو عام نتيجو آهن ۽ عام طور تي پريشاني جو سبب نه آهن.,NHS - https://www.nhs.uk/conditions/periods/,10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,مدت رت جي حد ٿي سگهي ٿي روشن ڳاڙهي کان ڳاڙهي ڳاڙهي-ڳاڙهي، خاص طور تي ڪنهن دور جي شروعات يا آخر ۾؛ اهي رنگ تبديليون رت جي آڪسائيڊنگ جو عام نتيجو آهن ۽ عام طور تي پريشاني جو سبب نه آهن.,NHS - https://www.nhs.uk/conditions/periods/
