id,category,substitutions,sd_not_matched,en_before,en_after,sd_before,sd_after
1009,Women's Nutrition & Wellness,quinoa; whole grain pasta,,"Examples include brown rice, whole wheat bread, oats, quinoa, barley, and whole grain pasta. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Examples include brown rice, whole wheat bread, oats, millet (bajra), barley, and sorghum (jowar). This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",مثالن ۾ شامل آهن ناسي چانور، سڄي ڪڻڪ جي ماني، جئ، ڪوئنو، جو، ۽ سڄو اناج پاستا. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,مثالن ۾ شامل آهن ناسي چانور، سڄي ڪڻڪ جي ماني، جئ، باجرو، جو، ۽ جوئر. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1048,Women's Nutrition & Wellness,iron-fortified cereals; tofu,,"Good iron sources include red meat, poultry, fish, beans, lentils, tofu, and iron-fortified cereals. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Good iron sources include red meat, poultry, fish, beans, lentils, chickpeas, and jaggery (gur). This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",لوھ جي سٺي ذريعن ۾ ڳاڙھو گوشت، مرغي، مڇي، ڀاڄيون، دال، ٽوفو، ۽ لوھ سان ڀريل اناج شامل آھن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,لوھ جي سٺي ذريعن ۾ ڳاڙھو گوشت، مرغي، مڇي، ڀاڄيون، دال، چڻا، ۽ ڳُڙ شامل آھن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1067,Women's Nutrition & Wellness,fortified plant milks; tofu,,"Good sources include dairy products, fortified plant milks, leafy greens, tofu made with calcium sulfate, and canned fish with bones. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Good sources include dairy products, milk and yoghurt, leafy greens, chickpeas made with calcium sulfate, and canned fish with bones. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",سٺا ذريعا شامل آهن کير جون شيون، قلعي وارا ٻوٽن جو کير، ٻوٽي وارا سبز، ٽوفو، ڪيلشيم سلفيٽ سان ٺهيل، ۽ هڏن سان ڀريل مڇي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,سٺا ذريعا شامل آهن کير جون شيون، ڏُڌ ۽ ڏهي، ٻوٽي وارا سبز، چڻا، ڪيلشيم سلفيٽ سان ٺهيل، ۽ هڏن سان ڀريل مڇي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1079,Women's Nutrition & Wellness,fortified orange juice; fortified plant milks; kale; tofu,,"Non-dairy calcium sources include fortified plant milks, calcium-set tofu, leafy greens like kale, almonds, and fortified orange juice. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Non-dairy calcium sources include milk and yoghurt, calcium-set chickpeas, leafy greens like local greens (saag), almonds, and yoghurt. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",غير کير واري ڪلسيم جا ذريعا شامل آهن قلعي وارا ٻوٽن جو کير، ڪيلشيم-سيٽ ٽوفو، پنن وارا سبز جهڙوڪ ڪيلي، بادام، ۽ مضبوط نارنجي جوس. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,غير کير واري ڪلسيم جا ذريعا شامل آهن ڏُڌ ۽ ڏهي، ڪيلشيم-سيٽ چڻا، پنن وارا سبز جهڙوڪ ساڳ، بادام، ۽ ڏهي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1087,Women's Nutrition & Wellness,tofu,,"Good protein sources include lean meat, poultry, fish, eggs, dairy, beans, lentils, tofu, and nuts. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Good protein sources include lean meat, poultry, fish, eggs, dairy, beans, lentils, chickpeas, and nuts. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",پروٽين جي سٺي ذريعن ۾ شامل آهن ٿلهي گوشت، مرغي، مڇي، انڊا، کير، ڀاڄيون، دال، ٽوفو ۽ گريبان. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,پروٽين جي سٺي ذريعن ۾ شامل آهن ٿلهي گوشت، مرغي، مڇي، انڊا، کير، ڀاڄيون، دال، چڻا ۽ گريبان. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1093,Women's Nutrition & Wellness,avocados; olive oil,,"Good sources include olive oil, avocados, nuts, seeds, and fatty fish. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Good sources include mustard oil, peanuts, nuts, seeds, and fatty fish. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",سٺا ذريعا شامل آهن زيتون جو تيل، ايوڪاڊو، نٽ، ٻج، ۽ ٿلهي مڇي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,سٺا ذريعا شامل آهن سرسون جو تيل، مونگ ڦلي، نٽ، ٻج، ۽ ٿلهي مڇي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1096,Women's Nutrition & Wellness,chia seeds; flaxseeds; salmon; sardines; walnuts,,"Fatty fish such as salmon and sardines, walnuts, flaxseeds, and chia seeds are rich sources of omega-3 fatty acids. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Fatty fish such as palla fish and rohu fish, peanuts, linseed (alsi), and sesame (til) are rich sources of omega-3 fatty acids. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",ٿلهي مڇي جهڙوڪ سالمن ۽ سارڊين، اخروٽ، فلڪس سيڊز ۽ چيا سيڊز اوميگا 3 فائيٽي اسيد جا امير ذريعا آهن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,ٿلهي مڇي جهڙوڪ پلو ۽ رهو، مونگ ڦلي، السي ۽ تِر اوميگا 3 فائيٽي اسيد جا امير ذريعا آهن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1360,Menopause & Menopausal Health,fortified plant milks; sardines; tofu,,"Good calcium sources include dairy products, fortified plant milks, leafy greens, tofu, and canned fish with bones such as sardines. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Good calcium sources include dairy products, milk and yoghurt, leafy greens, chickpeas, and canned fish with bones such as rohu fish. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",سٺي ڪلسيم جي ذريعن ۾ شامل آهن کير جون شيون، قلعي وارا ٻوٽا کير، پتي وارا ساگ، ٽوفو، ۽ هڏن سان ڀريل مڇي جهڙوڪ سارڊين. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,سٺي ڪلسيم جي ذريعن ۾ شامل آهن کير جون شيون، ڏُڌ ۽ ڏهي، پتي وارا ساگ، چڻا، ۽ هڏن سان ڀريل مڇي جهڙوڪ رهو. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1372,Menopause & Menopausal Health,fortified plant milks; tofu,,"Dairy is a convenient calcium source, but non-dairy foods like fortified plant milks, leafy greens, and calcium-set tofu can also meet calcium needs. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Dairy is a convenient calcium source, but non-dairy foods like milk and yoghurt, leafy greens, and calcium-set chickpeas can also meet calcium needs. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",ڊيري هڪ آسان ڪيلشيم جو ذريعو آهي، پر غير کير واري خوراڪ جهڙوڪ قلعي وارا ٻوٽا کير، پتي وارا سبز، ۽ ڪلسيم سيٽ ٽوفو پڻ ڪلسيم جي ضرورتن کي پورو ڪري سگهن ٿا. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,ڊيري هڪ آسان ڪيلشيم جو ذريعو آهي، پر غير کير واري خوراڪ جهڙوڪ ڏُڌ ۽ ڏهي، پتي وارا سبز، ۽ ڪلسيم سيٽ چڻا پڻ ڪلسيم جي ضرورتن کي پورو ڪري سگهن ٿا. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
1382,Menopause & Menopausal Health,flaxseeds,flaxseeds,"Phytoestrogens are found in soy products, flaxseeds, legumes, and some whole grains. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.","Phytoestrogens are found in soy products, linseed (alsi), legumes, and some whole grains. This is general health information, not a diagnosis. Consult a healthcare professional for personal medical advice.",فائيٽو ايسٽروجن سويا پروڊڪٽس، السي جا داڻا، دالون، ۽ ڪجهه سڄو اناج ۾ مليا آهن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,فائيٽو ايسٽروجن سويا پروڊڪٽس، السي جا داڻا، دالون، ۽ ڪجهه سڄو اناج ۾ مليا آهن. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.
