review_id,source_id,category,sub_category,sindhi_question,current_answer,source,clinical_accuracy,safety_check,escalation_check,decision,reviewer,reviewer_credentials,review_notes,suggested_fix,review_date
R001,910,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ٿائرائيڊ ڇا آهي؟,اها ڳچيءَ ۾ هڪ غدود آهي جيڪا اهڙا هارمون ٺاهي ٿي جيڪي جسم کي توانائي استعمال ڪرڻ جي طريقي کي قابو ۾ رکن ٿا۔ جڏهن اها تمام گھٽ يا تمام گھڻي ٺاهي ٿي ته اهو جسم جي ڪيترن حصن تي اثر انداز ٿئي ٿو۔ هڪ خوني ٽيسٽ چيڪ ڪري سگهي ٿو ته اها ڪيئن ڪم ڪري رهي آهي۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R002,911,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا ٿائرائيڊ جو مسئلو منهنجي ماهواري تي اثر انداز ٿي سگهي ٿو؟,ٿائرائيڊ جا مسئلا انهن حالتن مان آهن جن کي ڊاڪٽر ماهواري بگڙڻ وقت خيال ۾ رکن ٿا۔ اهو ئي سبب آهي جو پي سي او ايس جي تشخيص کان اڳ ٻيا سبب رد ڪيا ويندا آهن۔ هڪ خوني ٽيسٽ توهان جي ٿائرائيڊ چيڪ ڪري سگهي ٿو۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R003,912,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا ٿائرائيڊ جو مسئلو حامله ٿيڻ کي وڌيڪ ڏکيو بڻائي سگهي ٿو؟,ٿائرائيڊ جي بيماري انهن عورتن لاءِ لاڳاپيل سمجهي وڃي ٿي جن کي زرخيزي ۾ ڏکيائي هجي، ۽ حمل کان اڳ ۽ دوران ان جو جائزو وٺڻ لاءِ خاص رهنمائي موجود آهي۔ جيڪڏهن توهان حامله ٿيڻ لاءِ جدوجهد ڪري رهيا آهيو ته ٿائرائيڊ ٽيسٽ بابت پڇو۔ اهو هڪ سادو خوني ٽيسٽ آهي۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R004,913,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,جيڪڏهن منهنجي ماهواري بي قاعده آهي ته ڇا منهنجو ٿائرائيڊ چيڪ ٿيڻ گھرجي؟,ڇاڪاڻ ته ڪيتريون هارموني حالتون ماهواري کي بگاڙي سگهن ٿيون، تنهنڪري ڊاڪٽر پي سي او ايس جي تشخيص کان اڳ ٻيا سبب رد ڪن ٿا۔ ٿائرائيڊ جي جانچ ان جو حصو ٿي سگهي ٿي۔ پنهنجي ڊاڪٽر کان پڇو ته هو ڪهڙا ٽيسٽ ڪري رهيا آهن ۽ ڇو۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R005,914,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,سست ٿائرائيڊ (Underactive Thyroid) ڇا آهي؟,ان جو مطلب آهي ته ٿائرائيڊ تمام گھٽ هارمون ٺاهي رهيو آهي، جيڪو جسم جي ڪيترن ڪمن کي سست ڪري ٿو۔ اها انهن حالتن مان هڪ آهي جيڪا حمل کان اڳ ۽ دوران عورتن لاءِ ٿائرائيڊ رهنمائي ۾ شامل آهي۔ ان جي تشخيص خوني ٽيسٽ سان ٿيندي آهي۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R006,915,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,تيز ٿائرائيڊ (Overactive Thyroid) ڇا آهي؟,ان جو مطلب آهي ته ٿائرائيڊ تمام گھڻو هارمون ٺاهي رهيو آهي، جيڪو جسم جي ڪيترن ڪمن کي تيز ڪري ٿو۔ اها هڪ سڃاتل ٿائرائيڊ حالت آهي جيڪا عورتن کي حمل دوران ۽ ان کانپوءِ متاثر ڪري ٿي۔ ان کي طبي جانچ ۽ علاج جي ضرورت آهي۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R007,916,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا مون کي حمل ۾ پنهنجو ٿائرائيڊ چيڪ ڪرائڻ گھرجي؟,حمل ۾ ٿائرائيڊ جي ڪارڪردگي جو ٽيسٽ خاص طبي رهنمائي هيٺ اچي ٿو، ۽ توهان کي ان جي ضرورت آهي يا نه اهو توهان جي حالت تي منحصر آهي۔ پنهنجي حمل واري صحت ڪارڪن کان پڇو۔ پاڻ ٽيسٽ رٿابندي يا تشريح نه ڪريو۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R008,917,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا ٿائرائيڊ جا مسئلا ٻار ڄمڻ کانپوءِ ظاهر ٿي سگهن ٿا؟,ها، ٻار ڄمڻ کانپوءِ ٿيندڙ ٿائرائيڊ جا مسئلا سڃاتل آهن ۽ خاص طور تي طبي رهنمائي ۾ شامل آهن۔ جيڪڏهن ٻار ڄمڻ کان پوءِ وارن مهينن ۾ توهان کي غير معمولي طور تي ٿڪل، اداس يا خراب محسوس ٿئي ته ان جو ذڪر ڪريو۔ هڪ خوني ٽيسٽ ان کي چيڪ ڪري سگهي ٿو۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R009,918,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا آئوڊين ٿائرائيڊ لاءِ اهم آهي؟,آئوڊين ٿائرائيڊ جي ڪم ڪرڻ لاءِ گھربل آهي، ۽ حمل کان اڳ، دوران ۽ کانپوءِ عورتن لاءِ آئوڊين بابت رهنمائي موجود آهي۔ پاڻ مرادو ڪا به شيءِ شروع نه ڪريو۔ صحت ڪارڪن کان پڇو ته توهان جي علائقي ۾ ڇا صلاح ڏني وڃي ٿي۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R010,919,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا آءٌ ٿڃ پيارائي سگهان ٿي جيڪڏهن مون کي ٿائرائيڊ جي حالت آهي؟,ٿڃ پيارڻ دوران ٿائرائيڊ جي سنڀال خاص طور تي طبي رهنمائي ۾ شامل آهي، تنهنڪري اها سنڀالڻ جوڳي حالت آهي۔ پنهنجي ڊاڪٽر کي ٻڌايو ته توهان ٿڃ پيارائي رهيا آهيو۔ علاج بند نه ڪريو يا صلاح کان سواءِ کير پيارڻ بند نه ڪريو۔,https://www.thyroid.org/new-ata-guidelines-for-thyroid-disease-in-preconception-pregnancy-and-postpartum/,Pending,Pending,Pending,Pending,,,,,
R011,920,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا مون کي هڪ ئي وقت پي سي او ايس ۽ ٿائرائيڊ جو مسئلو ٿي سگهي ٿو؟,هڪ کان وڌيڪ هارموني حالت هجڻ ممڪن آهي۔ اهو ئي سبب آهي جو ڊاڪٽر هڪ تشخيص تي رڪجڻ بدران وسيع جانچ ڪن ٿا۔ پنهنجيون سڀ نشانيون ٻڌايو، صرف اهي نه جيڪي توهان کي لڳي ته لاڳاپيل آهن۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R012,921,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,مون کي ڪيئن خبر پوندي ته منهنجيون نشانيون ٿائرائيڊ آهن يا پي سي او ايس؟,اڪيلو نشانين کان توهان انهن کي جدا نٿا ڪري سگهو، ڇاڪاڻ ته اهي هڪ ٻئي سان ملن ٿيون۔ خوني ٽيسٽ ئي انهن کي جدا ڪن ٿا۔ پاڻ فيصلو ڪرڻ بدران ڊاڪٽر کي ڏسو۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
