id,rule,category,question_before,question_after,answer_before,answer_after,question_changed
3,period -> ماهواري,حيض جي صحت ۽ مدت,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ ماهواري عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ عام عرصو 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,هڪ عام ماهواري 2 ۽ 7 ڏينهن جي وچ ۾ رهي ٿو، عام طور تي پهرين ٻن ڏينهن ۾ تمام گهڻو رت وهندو آهي ۽ پوءِ بند ٿي ويندو آهي.,True
11,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ڇا اهو عام آهي ته هڪ ماهواري دوران ننڍڙن کلٽن جو گذرڻ؟,ڪڏھن ڪڏھن ننڍڙا ڪلٽ گذرڻ، خاص ڪري گھڻن ڏينھن تي، عام ۽ عام طور تي عام آھي؛ بار بار وڏيون ڪلٽون (هڪ سڪي کان وڏو) يا تمام گهڻو خونريزي صحت جي سار سنڀار فراهم ڪندڙ سان بحث ڪرڻ جي قابل آهي.,ڪڏھن ڪڏھن ننڍڙا ڪلٽ گذرڻ، خاص ڪري گھڻن ڏينھن تي، عام ۽ عام طور تي عام آھي؛ بار بار وڏيون ڪلٽون (هڪ سڪي کان وڏو) يا تمام گهڻو خونريزي صحت جي سار سنڀار فراهم ڪندڙ سان بحث ڪرڻ جي قابل آهي.,True
12,period -> ماهواري,حيض جي صحت ۽ مدت,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,ماهواري ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,حيض جي رت ۾ هڪ نرم قدرتي گند آهي جيڪا هوا جي نمائش سان ٿوري تبديل ٿي سگهي ٿي. پيڊن يا ٽيمپون کي باقاعدگي سان تبديل ڪرڻ ۽ ٻاهرئين جينياتي علائقي کي پاڻي سان ڌوئڻ ان کي منظم رکڻ ۾ مدد ڪري ٿو.,حيض جي رت ۾ هڪ نرم قدرتي گند آهي جيڪا هوا جي نمائش سان ٿوري تبديل ٿي سگهي ٿي. پيڊن يا ٽيمپون کي باقاعدگي سان تبديل ڪرڻ ۽ ٻاهرئين جينياتي علائقي کي پاڻي سان ڌوئڻ ان کي منظم رکڻ ۾ مدد ڪري ٿو.,True
17,period -> ماهواري,حيض جي صحت ۽ مدت,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,پهرين دور کان پوءِ ٻن کان ٽن سالن تائين وٺي سگھي ٿو سائيڪلن کي وڌيڪ اڳڪٿي ڪرڻ واري نموني ۾ آباد ٿيڻ لاءِ، ڇو ته هارمونل سسٽم اڃا تائين ان عرصي دوران پختو ٿي رهيو آهي.,پهرين دور کان پوءِ ٻن کان ٽن سالن تائين وٺي سگھي ٿو سائيڪلن کي وڌيڪ اڳڪٿي ڪرڻ واري نموني ۾ آباد ٿيڻ لاءِ، ڇو ته هارمونل سسٽم اڃا تائين ان ماهواري دوران پختو ٿي رهيو آهي.,False
23,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو عام طور تي ساڳئي وقت هر چڪر ۾ ٿين ٿا؟,ڇا ماهواري عام طور تي ساڳئي وقت هر چڪر ۾ ٿين ٿا؟,ڪيترائي ماڻهو ڪيترن ئي چڪرن تي ڪافي هڪجهڙائي واري نموني کي نوٽيس ڪندا آهن، پر وقت ۾ ننڍيون تبديليون عام آهن ۽ دٻاء، بيماري، يا طرز زندگي جي تبديلين کان متاثر ٿي سگهن ٿيون.,ڪيترائي ماڻهو ڪيترن ئي چڪرن تي ڪافي هڪجهڙائي واري نموني کي نوٽيس ڪندا آهن، پر وقت ۾ ننڍيون تبديليون عام آهن ۽ دٻاء، بيماري، يا طرز زندگي جي تبديلين کان متاثر ٿي سگهن ٿيون.,True
28,period -> ماهواري,حيض جي صحت ۽ مدت,دور ۽ اسپاٽنگ جي وچ ۾ ڇا فرق آهي؟,دور ۽ اسپاٽنگ جي وچ ۾ ڇا فرق آهي؟,هڪ عرصو شامل آهي هڪ ڳري، مسلسل وهڪري ڪيترن ئي ڏينهن تائين، جڏهن ته اسپاٽنگ تمام هلڪو، مختصر خونريزي آهي جنهن کي باقاعده پيڊ يا ٽيمپون تبديلين جي ضرورت ناهي.,هڪ ماهواري شامل آهي هڪ ڳري، مسلسل وهڪري ڪيترن ئي ڏينهن تائين، جڏهن ته اسپاٽنگ تمام هلڪو، مختصر خونريزي آهي جنهن کي باقاعده پيڊ يا ٽيمپون تبديلين جي ضرورت ناهي.,False
32,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو عام آهي ته ڪڏهن ڪڏهن حمل جي بغير ڪنهن دور کي ڇڏي ڏيو؟,ڇا اهو عام آهي ته ڪڏهن ڪڏهن حمل جي بغير ڪنهن دور کي ڇڏي ڏيو؟,ها، ڪڏهن ڪڏهن ياد ٿيل عرصو دٻاء، بيماري، سفر، يا هارمون جي وهڪري جي ڪري ٿي سگهي ٿو، جيتوڻيڪ هڪ مس ٿيل عرصو هميشه ممڪن حمل جي حوالي سان غور ڪيو وڃي جيڪڏهن لاڳاپيل هجي.,ها، ڪڏهن ڪڏهن ياد ٿيل ماهواري دٻاء، بيماري، سفر، يا هارمون جي وهڪري جي ڪري ٿي سگهي ٿو، جيتوڻيڪ هڪ مس ٿيل ماهواري هميشه ممڪن حمل جي حوالي سان غور ڪيو وڃي جيڪڏهن لاڳاپيل هجي.,False
40,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو عام آهي ته عرصو پهرين يا ٻن سالن ۾ غير منظم هجي؟,ڇا اهو عام آهي ته ماهواري پهرين يا ٻن سالن ۾ غير منظم هجي؟,ها، اهو تمام عام آهي ته چڪر جو وقت، ڊگھائي ۽ وهڪري جي لحاظ کان غير متوقع هجڻ، مينارچ کان پوءِ پهرين ٻن سالن دوران جڏهن ته هارمون جي ضابطي جي پختگي ٿئي ٿي.,ها، اهو تمام عام آهي ته چڪر جو وقت، ڊگھائي ۽ وهڪري جي لحاظ کان غير متوقع هجڻ، مينارچ کان پوءِ پهرين ٻن سالن دوران جڏهن ته هارمون جي ضابطي جي پختگي ٿئي ٿي.,True
41,period -> ماهواري,حيض جي صحت ۽ مدت,هڪ نوجوان ڇوڪري کي پنهنجي پهرين دور لاء ڪيئن تيار ڪيو وڃي؟,هڪ نوجوان ڇوڪري کي پنهنجي پهرين دور لاء ڪيئن تيار ڪيو وڃي؟,وضاحت ڪرڻ ته عرصو ڇا آهي، ڏيکاريو ته پيڊ ڪيئن استعمال ڪجي، ۽ هن کي يقين ڏياريو ته اهو ٿيڻ کان اڳ وڏي ٿيڻ جو هڪ عام حصو آهي، خوف ۽ مونجهاري کي گهٽائي سگھي ٿو جڏهن مينارچ ٿئي ٿي.,وضاحت ڪرڻ ته ماهواري ڇا آهي، ڏيکاريو ته پيڊ ڪيئن استعمال ڪجي، ۽ هن کي يقين ڏياريو ته اهو ٿيڻ کان اڳ وڏي ٿيڻ جو هڪ عام حصو آهي، خوف ۽ مونجهاري کي گهٽائي سگھي ٿو جڏهن مينارچ ٿئي ٿي.,False
44,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو 10 سالن کان اڳ شروع ٿي سگھي ٿو؟,ڇا ماهواري 10 سالن کان اڳ شروع ٿي سگھي ٿو؟,ها، ڪجهه ٻار 10 سالن جي عمر کان اڳ حيض شروع ڪن ٿا، جنهن کي اڳڀرائي بلوغت سڏيو ويندو آهي؛ هي هڪ ٻارن جي بيمارين سان بحث ڪرڻ جي قابل آهي ته هرمون جي سطح کي جانچڻ لاء هڪ صحتمند ٽريڪ تي آهي.,ها، ڪجهه ٻار 10 سالن جي عمر کان اڳ حيض شروع ڪن ٿا، جنهن کي اڳڀرائي بلوغت سڏيو ويندو آهي؛ هي هڪ ٻارن جي بيمارين سان بحث ڪرڻ جي قابل آهي ته هرمون جي سطح کي جانچڻ لاء هڪ صحتمند ٽريڪ تي آهي.,True
108,period -> ماهواري,حيض جي صحت ۽ مدت,ڳري حيض جي خونريزي کي ڇا سمجهيو ويندو آهي؟,ڳري حيض جي خونريزي کي ڇا سمجهيو ويندو آهي؟,وڏي حيض واري خونريزي، جنهن کي طبي طور تي مينورجيا سڏيو ويندو آهي، عام طور تي رت جي گهٽتائي جي طور تي بيان ڪيو ويو آهي جيڪو زندگي جي معيار سان مداخلت ڪري ٿو، جهڙوڪ پيڊ يا ٽيمپون ذريعي هر ڪلاڪ يا ٻه، يا عرصو 7 ڏينهن کان وڌيڪ ڊگهو آهي.,وڏي حيض واري خونريزي، جنهن کي طبي طور تي مينورجيا سڏيو ويندو آهي، عام طور تي رت جي گهٽتائي جي طور تي بيان ڪيو ويو آهي جيڪو زندگي جي معيار سان مداخلت ڪري ٿو، جهڙوڪ پيڊ يا ٽيمپون ذريعي هر ڪلاڪ يا ٻه، يا ماهواري 7 ڏينهن کان وڌيڪ ڊگهو آهي.,False
