id,category,sub_category,question,answer,source
2010,پي سي او ايس ۽ هارموني صحت,پي سي او ايس، وزن ۽ انسولين مزاحمت,انسولين مزاحمت لاءِ ميٽفارمين (Metformin) دوا ڇا ڪري ٿي؟,ميٽفارمين هڪ عام دوا آهي جيڪا PCOS ۾ انسولين مزاحمت گھٽائڻ ۽ خون ۾ شگر جي سطح کي بهتر ڪرڻ لاءِ ڏني ويندي آهي۔ اها ماهواري کي وڌيڪ باقاعده بڻائڻ ۽ ذیابيطس جي خطري کي گھٽائڻ ۾ به مدد ڪري سگهي ٿي۔ اها دوا ڊاڪٽر جي صلاح ۽ نگراني هيٺ ئي کائجي، پاڻ مرادو نه شروع ڪجي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2011,پي سي او ايس ۽ هارموني صحت,پي سي او ايس ڇا آهي ۽ عام نشانيون,PCOS واري عورت کي حامله ٿيڻ ۾ مدد لاءِ ڪهڙيون دوائون ڏنيون وينديون آهن؟,جيڪڏهن PCOS سبب بيضو خارج ٿيڻ ۾ مسئلو هجي ته ڊاڪٽر ڪلوميفين (Clomiphene) يا لیٽروزول (Letrozole) جھڙيون بيضه دان کي متحرڪ ڪندڙ دوائون ڏئي سگهي ٿو، جيڪي بيضو خارج ٿيڻ جو امڪان وڌائين ٿيون۔ جيڪڏهن اهي دوائون اثر نه ڪن ته IVF جھڙا ٻيا علاج به آپشن ٿي سگهن ٿا۔ اهو فيصلو هميشه ڊاڪٽر سان صلاح مشوري سان ٿيڻ گھرجي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2012,پي سي او ايس ۽ هارموني صحت,چمڙي ۽ وارن ۾ تبديليون,اسپيرونولاڪٽون (Spironolactone) PCOS جي وارن ۽ مهاسن لاءِ ڪيئن استعمال ٿئي ٿي؟,اسپيرونولاڪٽون هڪ دوا آهي جيڪا جسم ۾ اضافي مرد هارمون (اينڊروجن) جو اثر گھٽائي، اضافي وارن جي اُڀرڻ ۽ مهاسن کي گھٽائڻ ۾ مدد ڪري سگهي ٿي۔ اها صرف ڊاڪٽر جي نسخي تي ملي ٿي ۽ حمل دوران استعمال نه ٿي ڪجي، ڇاڪاڻ ته اها ٻار تي اثر انداز ٿي سگهي ٿي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2013,پي سي او ايس ۽ هارموني صحت,پي سي او ايس ۽ ماهواري,مانع حمل گوريون (برٿ ڪنٽرول پلز) PCOS جي علاج ۾ ڪيئن مدد ڪن ٿيون؟,مشترڪ مانع حمل گوريون هارمونن کي متوازن ڪري ماهواري کي باقاعده بڻائين ٿيون، اضافي وارن ۽ مهاسن کي گھٽائين ٿيون، ۽ رحم جي کوپ جي غير معمولي ٿلهي ٿيڻ کان بچاءُ ڪن ٿيون۔ اهي عورت کي حامله ٿيڻ کان روڪين ٿيون، تنهنڪري اهي انهن عورتن لاءِ ٺهڪن ٿيون جيڪي في الحال حامله ٿيڻ نٿيون چاهين۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2014,پي سي او ايس ۽ هارموني صحت,پي سي او ايس ۽ هارمونن بابت غلط فهميون,ڇا PCOS رحم جي کوپ جي سرطان (Endometrial Cancer) جو خطرو وڌائي ٿي ۽ ان کان بچاءُ ڪيئن ٿئي؟,PCOS ۾ ڊگھي عرصي تائين بي قاعده يا غير موجود ماهواري سبب رحم جي کوپ گھڻي عرصي تائين ٿلهي رهي سگهي ٿي، جنهن سان وقت گذرڻ سان رحم جي کوپ جي سرطان جو خطرو ٿورو وڌي سگهي ٿو۔ اهو خطرو باقاعده ماهواري آڻڻ (هارمون جون گوريون يا پروجيسٽرون ذريعي) ۽ ڊاڪٽر جي باقاعده چڪاس سان گھٽائي سگهجي ٿو۔ اهو گھٻرائڻ جي ڳالهه ناهي، پر نظرانداز ڪرڻ جھڙي به ناهي۔,ACOG - Polycystic Ovary Syndrome FAQs - https://www.acog.org/womens-health/faqs/polycystic-ovary-syndrome-pcos
2015,پي سي او ايس ۽ هارموني صحت,تشخيص مرض ۽ ڪڏهن معائنو ڪرائجي,PCOS جي علاج لاءِ مون کي ڪهڙي قسم جي ماهر ڊاڪٽر وٽ وڃڻ گھرجي؟,PCOS جي علاج ۾ عام طور تي گائناڪالاجسٽ (عورتن جي امراض جو ماهر) يا اينڊوڪرائنالاجسٽ (هارمون جو ماهر) شامل هوندا آهن۔ جيڪڏهن حمل ۾ مدد گھربل هجي ته ريپروڊڪٽو اينڊوڪرائنالاجسٽ (فرٽيلٽي ماهر) ڏانهن رجوع ڪيو ويندو آهي۔ گھڻن ڪيسن ۾ پهرين قدم طور لیڊي هيلٿ ورڪر يا عام ڊاڪٽر وٽ وڃي پوءِ مناسب ماهر ڏانهن موڪليو ويندو آهي۔,Mayo Clinic - PCOS care at Mayo Clinic - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/care-at-mayo-clinic/mac-20353446
2016,پي سي او ايس ۽ هارموني صحت,پي سي او ايس ۽ ماهواري,جيڪڏهن PCOS واري عورت حامله ٿئي ته حمل ۾ ڪهڙيون پيچيدگيون وڌيڪ ٿي سگهن ٿيون؟,PCOS واري حمل ۾ حملي واري ذیابيطس (gestational diabetes)، بلند بلڊ پريشر (پري-ايڪلیمپسيا)، اڳ ۾ ڄمڻ ۽ اسقاط حمل جو خطرو عام حمل جي ڀيٽ ۾ ٿورو وڌيڪ ٿي سگهي ٿو۔ اهو مطلب ناهي ته اهي پيچيدگيون ضرور ٿينديون، پر حمل دوران باقاعده معائنو ۽ خون ۾ شگر جي جانچ اهم ٿي پوي ٿي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2017,پي سي او ايس ۽ هارموني صحت,پي سي او ايس، وزن ۽ انسولين مزاحمت,ڇا انوسيٽول (Inositol) نالي سپليمنٽ PCOS ۾ مدد ڪري ٿو؟,ڪجهه تحقيقن مطابق انوسيٽول نالي سپليمنٽ انسولين مزاحمت گھٽائڻ ۽ ماهواري باقاعده ڪرڻ ۾ مدد ڪري سگهي ٿو، پر ثبوت اڃا محدود آهن۔ ڪوبه سپليمنٽ شروع ڪرڻ کان اڳ ڊاڪٽر کان صلاح ضرور وٺو، ڇو ته اهو ٻين دوائن سان اثر انداز ٿي سگهي ٿو۔,NICHD/NIH - Polycystic Ovary Syndrome - https://www.nichd.nih.gov/health/topics/pcos
2018,پي سي او ايس ۽ هارموني صحت,طرز زندگي جي سنڀال,جيڪڏهن وزن گھٽائڻ ۽ زندگي جون تبديليون ڪم نه ڪن ته PCOS لاءِ ٻيو ڪهڙو علاج آپشن آهي؟,جيڪڏهن زندگي جون تبديليون ڪافي نه هجن ته ڊاڪٽر ميٽفارمين، هارمون جون گوريون، يا اضافي وارن/مهاسن لاءِ خاص دوائون تجويز ڪري سگهي ٿو۔ سخت موٽاپي وارن ڪيسن ۾، جتي ٻيا علاج اثر نه ڪن، وزن گھٽائڻ واري سرجري (bariatric surgery) به هڪ آپشن طور غور ۾ آندو وڃي سگهي ٿو، پر اهو آخري قدم آهي ۽ ماهر جي صلاح سان طئي ٿئي ٿو۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
2019,پي سي او ايس ۽ هارموني صحت,پي سي او ايس ڇا آهي ۽ عام نشانيون,ڇا PCOS ۽ اينڊوميٽرائيوسس (Endometriosis) هڪ ئي شيءِ آهن؟,نه، اهي ٻئي مختلف حالتون آهن۔ PCOS هارمونن ۽ بيضو خارج ٿيڻ جو مسئلو آهي، جڏهن ته اينڊوميٽرائيوسس ۾ رحم جي کوپ جهڙو بافت رحم کان ٻاهر وڌي ٿو ۽ سور جو سبب بڻجي ٿو۔ ٻنهي حالتن ۾ بي قاعده ماهواري ۽ حامله ٿيڻ ۾ ڏکيائي ٿي سگهي ٿي، تنهنڪري صحيح تشخيص لاءِ ڊاڪٽر جو معائنو ضروري آهي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446
